Band1,Band2,Band3,Band4,Band5,Band6,NDVI,GNDVI,SAVI,EVI,MSR,TCART,CIrededge１,CIrededge２,CIgreen,DVI,MVI,MTCI,OSAVI,RDVI,RVI,TVI,LCI1,LCI2,VDVI,SIPI,MNVI,CVI,MTVI,MSAVI,EVI,ARVI,SPAD
0.076080183,0.254333849,0.12476327,0.436083462,0.693949286,0.566274982,0.638911,0.3801338,0.556042,0.591615,1.503654,0.8069072,0.79287,1.850265,0.759422,0.441512,1.067197577,0.418192,0.518792,0.531118,4.538796,31.673526,0.1884,0.184757,0.433854,0.763121,2.664393,1.092209,0.146009,0.058468,0.632809,0.531049,34.46666667
0.074215122,0.239164207,0.109785469,0.417852403,0.707844222,0.577408085,0.680482,0.414224,0.590834,0.635049,1.702486,0.7881804,0.795139,1.976371,0.758913,0.467623,1.086499732,0.517925,0.551967,0.5641,5.259422,33.232506,0.232184,0.18981,0.444383,0.772215,2.650486,1.108244,0.151396,0.127539,0.696071,0.597778,34.06666667
0.082641778,0.267474714,0.118903074,0.470451001,0.803186797,0.654603527,0.692561,0.4198438,0.630975,0.690346,1.766418,0.8940249,0.911576,3.326014,0.893626,0.5357,1.092044382,0.523833,0.573858,0.609102,5.505354,38.084893,0.238075,0.19209,0.452691,0.775809,2.250546,1.087943,0.165047,0.131455,0.766071,0.616768,37.8
0.079647462,0.263788453,0.113675277,0.465510909,0.794065667,0.649685974,0.702172,0.4224503,0.63641,0.697021,1.819598,0.8902924,0.895908,3.154821,0.882472,0.536011,1.096435925,0.523469,0.580499,0.613491,5.715279,38.165169,0.241269,0.189137,0.463663,0.781588,2.28513,1.061348,0.16604,0.150173,0.772625,0.629533,31.9
0.075975415,0.257526648,0.105629896,0.464750024,0.806731626,0.657281935,0.723088,0.4369824,0.655214,0.721758,1.943277,0.8950123,0.902011,3.400877,0.88526,0.551652,1.105932882,0.536121,0.59773,0.63158,6.222499,39.174992,0.252365,0.195894,0.478639,0.792773,2.266633,1.046873,0.169388,0.185691,0.80124,0.658617,35.46666667
0.075714152,0.262670683,0.10826014,0.464062789,0.777574786,0.633715606,0.708184,0.4139342,0.63462,0.693748,1.853987,0.8947524,0.871975,2.849118,0.859474,0.525455,1.099174305,0.476817,0.582561,0.610016,5.853637,37.70375,0.22865,0.193887,0.481263,0.786549,2.374208,0.994351,0.166341,0.165418,0.765782,0.636405,33.46666667
0.078985389,0.251296864,0.122149053,0.421721955,0.695730446,0.56680262,0.645406,0.385657,0.560982,0.597665,1.532789,0.7810395,0.792538,1.862831,0.757046,0.444654,1.070236438,0.484292,0.523768,0.535707,4.640254,31.845126,0.210582,0.187136,0.428375,0.755383,2.669137,1.096346,0.146631,0.069284,0.651104,0.548397,36.23333333
0.08178388,0.264864515,0.122347302,0.452332753,0.735780806,0.600754611,0.661604,0.3880345,0.586714,0.631348,1.608425,0.8513378,0.838351,2.273698,0.817203,0.478407,1.077777465,0.449783,0.541735,0.562598,4.91024,34.405127,0.205257,0.186732,0.443678,0.760354,2.500516,1.047717,0.155238,0.091109,0.69477,0.573345,33.53333333
0.087268199,0.294335626,0.131170131,0.50246109,0.824266152,0.675879946,0.674939,0.3932573,0.625121,0.684072,1.674162,0.9544235,0.948708,3.846043,0.957792,0.54471,1.08394617,0.46707,0.56327,0.606338,5.152697,39.209209,0.21488,0.183862,0.458715,0.771294,2.127586,1.023337,0.168615,0.092784,0.753032,0.588527,32.96666667
0.112962473,0.382741151,0.162253092,0.636226653,1.001967164,0.820824734,0.669908,0.363988,0.666086,0.744912,1.648969,1.2231273,1.196026,-0.819213,1.32979,0.658572,1.081622828,0.389469,0.576139,0.664216,5.058916,48.333821,0.187776,0.184261,0.471094,0.758055,1.489042,0.909145,0.191654,0.013255,0.845569,0.590178,36.33333333
0.076348537,0.264700432,0.1103172,0.463567053,0.790961928,0.646024033,0.708287,0.4187036,0.639603,0.700899,1.854585,0.8926169,0.889038,3.090461,0.878586,0.535707,1.09922119,0.51651,0.584615,0.615982,5.856059,38.317739,0.241236,0.19163,0.478636,0.788617,2.310073,1.017144,0.167461,0.162241,0.771773,0.634863,34.76666667
0.083307894,0.292803713,0.121347395,0.507305741,0.845003557,0.690607769,0.701098,0.4045143,0.650853,0.718095,1.813551,0.9785253,0.961704,4.455636,0.976543,0.56926,1.095946297,0.474927,0.585686,0.63175,5.691163,41.013875,0.225754,0.190153,0.482058,0.784711,2.080142,0.977482,0.174806,0.134149,0.793335,0.62497,31.5
0.07846379,0.265899939,0.114670547,0.456734429,0.774121683,0.629933753,0.691996,0.4063632,0.620996,0.676148,1.763358,0.8741723,0.874388,2.788819,0.858103,0.515263,1.091785699,0.506336,0.569601,0.597127,5.493422,36.964968,0.232606,0.193644,0.467167,0.778475,2.377465,1.021669,0.163466,0.137515,0.744824,0.613537,31.93333333
0.080927846,0.266546316,0.122853998,0.451638852,0.730946096,0.597145469,0.658739,0.3827745,0.583146,0.626708,1.594721,0.8502662,0.833323,2.219427,0.814156,0.474291,1.076447231,0.442559,0.538968,0.558958,4.860611,34.205181,0.202093,0.185834,0.446902,0.761301,2.516881,1.032581,0.154905,0.086907,0.686459,0.567464,32.83333333
0.086153939,0.29188387,0.124071422,0.502620839,0.830456317,0.679237063,0.691099,0.3988723,0.63895,0.702027,1.758513,0.9649066,0.948087,4.006266,0.959217,0.555166,1.091374793,0.466561,0.576311,0.619415,5.474565,40.022436,0.219861,0.188246,0.47046,0.774876,2.126297,0.989175,0.171867,0.120429,0.780819,0.614874,34.16666667
0.090106477,0.307226477,0.134940071,0.528255801,0.870254164,0.715823274,0.682779,0.3993909,0.645061,0.711979,1.714407,1.0068926,1.006004,5.517119,1.033272,0.580883,1.087556358,0.476888,0.574698,0.629774,5.304749,41.744448,0.22047,0.18152,0.463855,0.776391,1.944837,1.023362,0.174896,0.090728,0.785119,0.598539,34.6
0.080822643,0.2754415,0.117378333,0.474087238,0.797233786,0.647691286,0.693156,0.4032462,0.628795,0.687148,1.769652,0.909662,0.903257,3.194276,0.893912,0.530313,1.092317017,0.486683,0.573268,0.606292,5.51798,38.141304,0.226913,0.195463,0.470818,0.778116,2.286416,1.002068,0.166946,0.134638,0.759416,0.615945,34.03333333
0.087049405,0.295940122,0.126702618,0.507072118,0.849446141,0.689621727,0.689578,0.3994489,0.641467,0.70587,1.750338,0.9721157,0.972688,4.580565,0.979493,0.562919,1.090677658,0.479927,0.57657,0.623038,5.442837,40.544647,0.223624,0.195785,0.469356,0.77584,2.074456,0.997674,0.17289,0.113775,0.783152,0.611308,34.83333333
0.080724584,0.279814432,0.118533888,0.480654121,0.810825469,0.661611815,0.696124,0.4055521,0.636347,0.697652,1.785883,0.92348,0.91986,3.497362,0.918669,0.543078,1.093674412,0.499717,0.577653,0.614857,5.581626,39.035897,0.231954,0.191264,0.474867,0.782512,2.218578,1.001626,0.169294,0.135578,0.768196,0.617722,34.16666667
