date,o3,pm2.5,ws,wd,air_temp
2018/1/3 19:00,45.43799796,7.279352563,6.383267469,269.3209723,8.328927483
2018/1/3 20:00,45.83764049,7.186368633,6.345432864,269.6098308,8.329055371
2018/1/3 21:00,46.11182621,7.072298551,6.293580177,269.3859638,8.298587808
2018/1/3 22:00,46.27946815,7.03350978,6.229006249,268.5335264,8.245841937
2018/1/3 23:00,46.28620658,7.018207396,6.149122483,267.6718705,8.188874227
2018/1/4 0:00,46.35264755,7.036268101,6.057273117,266.704262,8.124500346
2018/1/4 1:00,46.31353983,7.10961415,5.963867579,266.0756255,8.06876426
2018/1/4 2:00,46.11314526,7.188916913,5.885102285,265.6247495,8.033235032
2018/1/4 3:00,45.90711845,7.297209325,5.806914267,264.9726775,7.983356907
2018/1/4 4:00,45.59604354,7.430948796,5.733802144,264.0823065,7.919968528
2018/1/4 5:00,45.14608762,7.572607515,5.652435552,262.8754045,7.834379081
2018/1/4 6:00,44.79168052,7.706501129,5.573095015,261.6858698,7.73993299
2018/1/4 7:00,44.32912338,7.872611411,5.500383326,260.4869398,7.652712502
2018/1/4 8:00,43.8482415,8.041931774,5.423408977,259.1176965,7.557440134
2018/1/4 9:00,43.32666623,8.18216492,5.362336138,257.7441662,7.467515529
2018/1/4 10:00,42.69766888,8.299078696,5.296461814,256.3655677,7.37996558
2018/1/4 11:00,42.02686951,8.386054248,5.234025398,254.9125407,7.292910754
2018/1/4 12:00,41.36988015,8.514236083,5.173713283,253.4508773,7.211612256
2018/1/4 13:00,40.86244892,8.64573302,5.098343042,251.7304928,7.126458646
2018/1/4 14:00,40.41957258,8.781527681,5.015050334,249.8939217,7.026958342
2018/1/4 15:00,39.9723736,8.857746727,4.932662329,247.9557622,6.915218028
2018/1/4 16:00,39.45270641,8.964130131,4.842435704,245.9458731,6.793438399
2018/1/4 17:00,38.93843677,9.105749214,4.746422939,243.7507654,6.658955483
2018/1/4 18:00,38.419116,9.205044049,4.646567258,241.3018196,6.509096838
2018/1/4 19:00,37.85178113,9.322713806,4.545013458,238.6113472,6.351307255
2018/1/4 20:00,37.14423459,9.463252699,4.432997888,235.530441,6.183413144
2018/1/4 21:00,36.26882049,9.551763757,4.304533513,232.0699254,6.005347424
2018/1/4 22:00,35.32628896,9.61946104,4.176147226,228.3388736,5.825094222
