,TA_F,SW_IN_POT,SW_IN_F,LW_IN_F,VPD_F,P_F,WS_F,LE_F_MDS,H_F_MDS
333,2.081,140.519,32.726,304.015,0.129,12.771,2.801,44.984,-21.7988
334,-3.077,139.275,83.832,190.695,0.616,0.07,1.088,31.3096,19.2885
335,-2.035,138.085,33.278,277.333,0.236,0.144,1.267,26.1247,-0.237929
336,-5.496,136.95,34.283,251.548,0.509,3.202,3.242,54.9443,-27.0
337,-9.773,135.872,29.33,253.26,0.268,3.989,6.792,57.2439,-33.7149
338,-9.092,134.85,46.213,253.628,0.198,2.013,5.607,21.3652,-17.6529
339,-5.92,133.883,46.694,264.551,0.185,4.425,3.589,24.2347,-17.5201
340,-6.831,132.974,25.534,267.053,0.146,16.659,4.342,26.7303,-19.0394
341,-9.574,132.122,43.099,249.138,0.183,3.085,5.814,40.3059,-22.5551
342,-10.134,131.328,55.876,224.586,0.258,3.078,3.837,39.1301,-9.33315
343,-8.319,130.591,49.522,232.817,0.464,0.922,3.064,39.0221,-19.872
344,-5.919,129.912,45.893,267.583,0.242,0.188,2.526,61.0536,-24.8367
345,-4.872,129.291,76.964,216.773,0.465,0.135,2.613,25.6862,-1.64611
346,-5.282,128.728,73.357,193.845,0.951,0.082,2.465,24.0185,-3.56799
347,-2.865,128.224,26.983,293.38,0.25,0.48550000000000004,5.456,22.3936,-7.41256
348,-3.129,127.779,37.164,261.876,0.459,0.889,5.411,30.4849,1.8131
349,-7.5,127.392,55.881,220.795,0.443,0.533,2.07,31.5817,-13.3248
350,-8.617,127.065,62.865,211.696,0.765,2.698,1.947,57.8071,-17.2317
351,-5.44,126.796,20.347,279.809,0.164,4.863,4.022,55.6948,-31.3801
352,-3.828,126.587,28.506,282.993,0.094,7.068,2.325,19.606,-24.7648
353,-6.485,126.437,26.079,258.491,0.142,3.098,2.512,22.7796,-23.7819
354,-6.53,126.347,39.33,258.72,0.277,1.293,4.393,32.5195,-22.5552
355,-4.687,126.316,18.428,266.72,0.408,2.911,7.089,28.461,-9.0697
356,-5.262,126.345,47.25,269.171,0.548,2.058,5.419,28.7167,-6.97768
357,-5.851,126.433,46.374,247.478,0.442,1.663,3.346,44.4664,-24.4194
358,-7.655,126.581,34.97,245.624,0.355,4.446,2.69,36.0163,-26.5449
359,-6.694,126.788,23.703,260.959,0.235,6.76,4.53,28.7147,-27.9477
360,-10.457,127.055,50.358,213.203,0.329,0.577,2.427,48.7507,-27.2158
361,-7.014,127.381,47.732,247.287,0.505,0.592,4.576,39.139,-22.9776
362,-3.234,127.768,10.167,286.561,0.216,4.262,6.168,30.0333,-3.66204
363,-7.842,128.213,33.059,249.506,0.276,4.652,5.279,39.2589,-22.4371
364,-5.404,128.717,20.53,273.034,0.231,4.285,5.628,59.5051,-26.5136
365,-6.732,129.281,46.502,245.582,0.431,1.697,4.74,32.7679,-25.817
366,-7.856,129.904,46.825,235.106,0.375,2.442,2.666,48.7507,-27.2158
367,-8.315,130.587,41.676,233.962,0.363,1.753,3.129,36.8149,-16.6427
368,-8.593,131.327,56.718,222.536,0.401,3.233,2.525,32.7679,-25.817
369,-10.069,132.127,40.508,230.939,0.334,3.923,1.455,48.7507,-27.2158
370,-10.087,132.985,57.735,216.27,0.423,1.956,2.557,37.9558,-19.5954
371,-8.777,133.901,80.57,202.844,0.421,0.293,2.456,69.7077,-16.9415
372,-6.889,134.875,12.894,252.963,0.363,10.022,4.507,71.8369,-25.0625
373,-7.914,135.908,51.213,238.725,0.333,0.63,2.454,36.8149,-16.6427
374,-7.719,136.998,37.666,252.505,0.635,7.237,4.026,32.7679,-25.817
375,-6.928,138.144,20.948,240.992,0.366,9.179,4.107,40.439,-27.0975
376,-7.153,139.348,51.596,237.339,0.499,0.712,2.414,33.9334,-14.1632
377,-4.81,140.608,36.439,271.189,0.529,8.935,3.53,32.7679,-25.817
378,-4.868,141.925,5.641,289.252,0.163,18.507,7.171,48.7507,-27.2158
379,-7.568,143.297,13.654,274.52,0.232,12.191,8.278,36.8149,-16.6427
380,-9.026,144.725,48.124,247.907,0.234,2.528,4.779,32.7679,-25.817
381,-9.681,146.207,67.06,216.908,0.436,0.113,1.588,48.7507,-27.2158
382,-11.037,147.744,54.166,227.665,0.389,0.455,1.497,36.8149,-16.6427
383,-10.115,149.335,70.089,223.982,0.443,0.608,3.536,32.7679,-25.817
384,-8.063,150.98,56.075,244.244,0.576,0.761,4.07,48.7507,-27.2158
385,-5.533,152.677,39.583,267.059,0.525,1.715,3.656,36.8149,-16.6427
386,-4.661,154.427,12.855,283.023,0.416,9.528,4.885,32.7679,-25.817
387,-7.05,156.229,66.913,245.452,0.606,3.188,4.575,48.7507,-27.2158
388,-11.288,158.082,66.212,224.102,0.271,0.536,3.291,36.8149,-16.6427
389,-11.957,159.985,77.706,205.182,0.393,1.0995,2.12,32.7679,-25.817
390,-9.426,161.938,67.653,226.255,0.503,1.663,1.374,45.7672,-28.5918
391,-10.715,163.939,66.175,228.079,0.312,2.374,1.733,31.2104,-18.5788
392,-10.554,165.989,53.76,229.814,0.255,3.205,3.152,26.1246,-16.8565
393,-10.4,168.087,81.07,221.142,0.486,0.337,3.691,8.78224,0.403564
394,-8.671,170.233,71.964,238.025,0.389,0.811,2.27,20.8805,-21.9497
395,-9.716,172.423,72.451,232.3,0.363,0.403,1.719,24.1676,-12.1947
396,-9.418,174.659,84.471,236.24,0.37,0.401,2.295,8.08822,-0.172209
397,-9.096,176.939,94.86,244.092,0.556,0.347,3.428,9.47655,-20.7089
398,-6.875,179.263,52.05,276.599,0.165,9.368,3.588,17.2541,-36.8259
399,-10.711,181.63,58.402,256.003,0.188,1.356,4.793,22.9386,-40.5514
400,-8.152,184.037,53.998,267.445,0.18,3.856,4.414,18.9796,-25.8869
401,-8.798,186.486,58.428,270.755,0.246,1.504,2.505,14.7233,-16.7928
402,-10.295,188.975,84.507,268.938,0.294,0.768,1.623,10.4036,2.34753
403,-9.375,191.502,48.418,275.234,0.172,2.497,2.856,10.4042,-12.8901
404,-9.971,194.067,51.515,246.865,0.187,2.114,2.581,5.04896,-17.1855
405,-9.471,196.668,72.574,254.287,0.176,0.686,2.795,18.375,-24.1354
406,-5.322,199.306,41.238,274.781,0.127,2.686,3.497,9.3468,-12.1391
407,-6.532,201.978,69.845,252.624,0.272,1.852,3.295,10.4079,-16.0807
408,-5.579,204.683,63.665,280.415,0.388,0.47,5.455,10.839,-5.52818
409,-2.104,207.422,106.768,249.293,1.525,1.9324999999999999,3.899,18.1686,10.915
410,-5.563,210.191,47.946,281.625,0.3,3.395,5.238,4.00803,-4.41283
411,-9.216,212.991,95.015,251.594,0.204,1.163,2.163,7.13608,-4.17368
412,-11.652,215.82,88.259,251.276,0.243,1.116,2.989,16.1221,-26.9159
413,-11.637,218.677,140.456,219.571,0.542,0.214,2.706,27.3379,-17.3654
414,-10.871,221.561,104.581,243.665,0.303,0.267,2.072,19.0659,-11.6019
415,-7.521,224.471,124.667,243.672,0.548,0.772,3.751,14.643,14.6509
416,-4.107,227.405,48.014,296.326,0.101,5.986,2.643,6.06774,-0.329476
417,-5.968,230.363,31.993,285.737,0.486,16.763,3.573,-3.08398,-9.79855
418,-10.905,233.344,43.65,247.614,0.187,30.036,7.029,3.04286,-19.776
419,-8.404,236.345,93.514,271.465,0.167,2.626,3.43,9.84205,-16.4352
420,-3.655,239.367,79.571,267.181,0.41,4.363,6.791,21.3326,-7.18302
421,-6.195,242.407,61.305,264.231,0.58,5.972,5.829,14.4218,-8.95492
422,-11.648,245.465,87.822,250.482,0.258,2.996,3.894,14.4573,-5.94969
423,-6.94,248.54,114.55,254.339,0.448,0.417,4.908,12.6391,9.93762
424,-5.255,251.63,53.312,283.215,0.209,5.728,7.583,10.7448,-8.60124
425,-11.802,254.735,79.991,248.376,0.271,6.845,6.421,7.86053,-6.27781
426,-11.913,257.851,131.822,242.988,0.283,1.924,5.387,15.361,-15.0459
427,-11.144,260.981,103.134,261.451,0.196,4.217,4.152,20.4971,-23.5633
428,-10.276,264.121,158.512,227.271,0.486,1.178,3.139,22.2649,1.94659
429,-8.819,267.272,118.679,250.527,0.265,1.344,2.722,16.5307,3.41315
430,-10.546,270.429,146.871,234.861,0.404,0.861,4.124,16.182,17.2578
431,-9.853,273.596,165.587,234.335,0.602,0.378,2.918,16.7635,25.8983
432,-8.834,276.768,130.166,262.227,0.272,2.707,3.804,9.22306,6.70294
433,-5.074,279.945,180.365,231.402,1.085,0.832,3.249,9.97781,21.5265
434,-0.288,283.126,106.114,273.399,1.099,3.3449999999999998,6.515,19.723,-4.29044
435,-1.95,286.311,56.793,292.013,0.748,5.858,10.25,16.9556,-5.43934
436,-5.806,289.497,106.571,257.549,1.062,1.756,10.478,2.80995,8.45828
437,-7.614,292.684,103.53,267.746,0.267,1.924,6.298,12.6394,2.33843
438,-6.929,295.872,125.937,272.695,0.182,2.08,2.432,4.84117,9.97713
439,-5.897,299.057,128.742,267.607,0.304,0.091,3.334,7.06867,0.815601
440,-2.947,302.242,122.943,268.344,1.184,3.567,4.84,17.8649,14.6623
441,1.786,305.422,25.336,307.15,1.819,7.043,7.952,31.0707,-47.7953
442,-7.783,308.598,112.434,259.703,0.604,1.381,8.56,13.2606,-6.19341
443,-7.988,311.769,104.895,256.68,0.408,1.459,4.802,12.0048,-6.73503
444,-5.282,314.934,184.4,216.318,1.117,1.1280000000000001,3.648,12.2659,35.16
445,-4.814,318.092,151.17,210.883,1.152,0.797,3.344,10.679,33.7537
446,-4.113,321.242,200.54,240.434,0.856,0.33,3.448,14.829,42.7421
447,-1.42,324.383,212.026,240.73,1.758,0.274,4.989,27.0526,40.9412
448,0.155,327.513,200.654,221.388,2.769,1.446,4.065,35.5631,15.3839
449,-0.314,330.633,159.626,264.137,1.421,2.618,2.67,25.6526,15.6331
450,-2.848,333.741,151.094,290.903,0.217,3.79,3.268,23.2856,21.0004
451,-3.164,336.837,246.093,221.677,1.452,1.897,5.8,24.852,58.0837
452,-2.526,339.918,216.168,215.377,1.873,0.382,2.453,22.4177,51.8989
453,0.209,342.987,164.46,264.742,2.679,1.4325,2.94,17.1859,29.2518
454,3.029,346.039,45.688,318.297,0.928,2.483,4.864,11.5892,-38.9073
455,-0.54,349.076,134.62,286.945,0.646,1.998,8.583,28.4609,6.60283
456,-5.498,352.095,172.645,256.441,0.504,3.808,5.164,9.47064,22.9698
457,-6.15,355.098,149.758,253.664,0.695,1.707,4.352,12.245,20.1077
458,-5.93,358.082,251.45,206.237,1.44,0.9215,3.871,21.9165,44.5269
459,-2.684,361.047,187.522,249.967,1.064,0.136,5.35,17.0372,41.8251
460,-0.553,363.992,200.028,252.032,2.246,0.799,6.014,21.1173,40.3407
461,2.263,366.916,148.978,289.765,1.191,0.795,5.177,13.9456,7.30899
462,1.287,369.82,200.82,255.111,1.879,0.698,4.698,32.2863,21.2777
463,-1.879,372.701,159.194,241.561,0.926,3.926,4.265,29.4844,17.6491
464,-1.331,375.559,66.562,273.393,0.639,2.326,6.178,14.0685,-2.39597
465,-1.618,378.394,154.203,250.733,1.208,3.369,2.661,18.5904,31.5927
466,1.197,381.206,263.925,223.117,3.986,3.053,3.287,20.5337,49.8942
467,1.972,383.991,185.959,256.45,2.987,2.737,2.599,20.3902,25.2142
468,3.289,386.752,265.644,224.863,4.812,1.8426666666666667,3.482,23.4476,33.1916
469,2.7,389.488,235.768,249.445,3.697,0.9483333333333333,5.89,27.5573,21.5184
470,-0.566,392.196,233.803,226.403,2.482,0.054,5.188,35.8027,47.5552
471,-1.983,394.877,60.028,296.164,0.588,9.889,3.581,14.3999,-7.09319
472,-2.429,397.53,178.769,274.481,0.494,3.299,2.031,21.2467,36.6474
473,1.439,400.155,187.485,293.301,1.405,1.203,6.775,20.8544,23.7295
474,8.406,402.751,190.441,301.775,3.749,0.665,3.473,6.27262,-3.12557
475,3.641,405.317,45.834,328.474,0.419,14.436,7.486,24.6485,-42.2779
476,-1.694,407.853,163.63,279.993,0.439,4.623,6.476,26.8324,4.16257
477,-1.877,410.357,234.595,250.793,1.225,0.085,2.677,26.8683,83.0963
478,-2.895,412.832,125.581,277.274,0.499,0.324,1.963,9.88133,27.8208
479,-3.019,415.274,197.047,273.871,0.373,3.245,3.851,7.37366,60.8668
480,-1.937,417.684,224.877,257.241,0.864,4.061,3.669,25.0804,62.6075
481,0.663,420.061,216.513,260.206,1.459,0.944,6.729,11.145,16.2774
482,3.544,422.404,188.468,278.807,3.155,0.5605,4.19,22.5426,15.4501
483,1.351,424.715,133.695,274.226,1.492,0.177,5.265,18.8199,-11.0354
484,6.424,426.99,300.952,247.184,6.196,4.545999999999999,4.235,23.604,23.9077
485,5.138,429.23,130.671,300.577,2.923,8.915,3.685,8.31226,5.32319
486,3.859,431.436,315.214,217.372,4.382,13.283999999999999,2.985,17.4377,60.8508
487,5.726,433.606,242.0,263.364,5.781,17.653,3.636,12.7814,22.5386
488,4.093,435.739,68.505,319.327,2.041,22.022,4.569,8.82749,-20.3265
489,4.091,437.836,100.793,328.71,0.171,18.749,5.984,16.5677,-17.415
490,4.021,439.896,234.906,277.733,1.591,9.642999999999999,3.14,6.65165,39.5641
491,7.477,441.918,302.533,257.819,4.22,0.537,4.042,7.48483,29.9293
492,3.692,443.902,160.908,305.648,1.382,5.306,5.948,14.5698,-0.9825
493,6.033,445.848,299.761,267.972,2.961,0.041,4.345,12.6097,42.5999
494,13.146,447.756,239.824,300.431,9.567,1.19,4.916,13.4881,-2.90229
495,14.513,449.624,270.573,314.998,6.717,2.339,3.666,8.88553,24.719
496,8.176,451.452,73.997,332.393,0.398,8.815,5.426,19.6827,-33.9507
497,9.242,453.24,327.136,246.352,6.846,6.644,8.565,35.4567,-23.2943
498,8.279,454.988,77.443,335.363,2.858,4.473,3.598,15.3275,-11.4198
499,10.982,456.695,323.085,282.054,5.756,0.924,4.303,41.4118,55.0318
500,13.391,458.361,281.451,290.595,7.874,1.2755,9.133,22.9712,-20.2286
501,10.686,459.986,90.388,337.623,4.072,1.627,2.211,21.4115,-6.25894
502,10.319,461.569,154.072,338.573,1.698,2.136,1.634,24.249,37.9057
503,7.575,463.11,26.884,345.8,0.154,4.498,6.012,23.6811,-12.4652
504,11.485,464.608,286.475,289.293,4.251,2.3525,4.472,54.2235,58.8234
505,16.575,466.064,250.914,328.274,8.432,0.207,2.901,57.1025,88.2923
506,8.446,467.475,66.399,325.18,2.179,11.397,2.893,53.5503,9.96873
507,5.338,468.844,175.484,327.211,0.863,6.568,3.112,29.2817,31.3082
508,10.129,470.169,255.393,302.206,3.735,0.078,2.605,8.85647,10.8908
509,10.638,471.45,191.184,308.71,3.124,2.193,2.674,1.20163,1.35259
510,7.908,472.686,228.636,297.743,1.604,0.118,4.862,-1.06937,-0.334282
511,10.84,473.878,264.195,308.755,2.967,2.77175,7.622,34.989,6.70987
512,16.636,475.025,310.806,306.089,7.945,5.4255,3.583,54.8164,91.7599
513,17.392,476.126,240.956,330.616,8.785,8.07925,5.053,18.2153,38.289
514,12.965,477.182,29.523,374.576,0.477,10.733,6.523,-0.576871,1.33782
515,11.994,478.193,262.577,326.588,5.469,0.022,5.545,-0.538958,2.35501
516,10.174,479.157,39.867,355.934,1.665,10.528,4.758,29.5134,-0.332645
517,9.844,480.076,252.379,312.033,3.188,0.447,6.54,94.5304,92.4485
518,10.448,480.948,311.189,281.334,3.637,0.866,4.074,79.3195,97.0467
519,12.231,481.773,348.598,267.032,6.391,0.9296666666666666,5.851,98.5002,121.038
520,16.034,482.552,290.436,304.635,10.888,0.9933333333333333,4.986,109.125,66.9311
521,11.836,483.283,129.664,311.11,4.567,1.057,4.686,74.0071,13.3839
522,15.008,483.969,325.041,285.086,9.177,1.0859999999999999,5.578,122.102,77.2144
523,12.563,484.606,212.646,322.071,6.245,1.115,5.414,91.1737,56.76
524,11.647,485.196,312.574,276.088,6.541,1.1440000000000001,2.26,99.1211,117.314
525,11.625,485.737,171.784,337.41,3.215,1.173,3.028,57.9841,41.8857
526,11.071,486.233,60.07,355.12,0.821,5.696,1.656,33.2005,9.50242
527,13.532,486.68,314.454,315.199,5.475,0.165,3.969,119.548,89.7442
528,11.727,487.078,76.111,340.296,2.806,0.756,3.611,49.8534,-16.8186
529,10.836,487.43,217.879,317.621,1.933,0.854,5.618,70.6391,65.1771
530,12.838,487.733,238.4,322.232,3.673,1.035,4.686,89.5821,77.3876
531,9.72,487.987,299.606,281.634,3.76,0.84,2.373,92.3999,109.725
532,11.952,488.194,349.441,268.65,6.31,0.645,2.782,130.2,107.014
533,14.435,488.353,285.522,295.958,10.96,0.44999999999999996,6.764,112.103,84.2448
534,16.705,488.463,225.685,341.366,11.788,0.255,6.143,105.015,51.8184
535,16.026,488.526,86.188,378.71,3.628,1.193,4.766,62.0126,16.736
536,18.351,488.539,195.701,374.11,3.55,0.051,4.519,98.9898,50.5146
537,17.721,488.505,145.483,384.729,2.384,2.618,2.25,69.4976,32.8425
538,14.779,488.423,65.097,383.526,0.462,18.378,4.341,54.9537,17.2503
539,12.563,488.293,99.458,369.69,0.272,1.385,8.36,0.774904,32.6772
540,14.041,488.115,79.09,375.773,0.34,0.996,3.653,59.2735,42.66
541,14.882,487.888,285.401,335.568,3.728,6.09,1.906,128.429,92.2488
542,17.191,487.613,253.461,346.466,3.687,11.184000000000001,1.667,112.188,74.2545
543,18.015,487.291,237.526,350.564,4.53,16.278,1.996,110.961,49.7377
544,17.789,486.922,276.436,350.181,3.327,21.372,3.418,98.6159,67.1619
545,16.171,486.506,191.045,376.61,2.707,26.466,4.396,93.317,46.1402
546,14.231,486.041,54.629,382.713,0.392,31.56,2.488,89.2407,5.17902
547,8.842,485.53,142.596,319.87,1.041,10.542,4.362,92.5527,25.3337
548,13.242,484.972,315.484,313.169,4.603,8.558,2.346,143.643,78.8956
549,14.963,484.366,208.237,352.801,4.631,6.574,1.616,83.1576,38.134
550,12.648,483.715,273.664,331.053,1.635,4.59,2.042,80.7521,101.09
551,11.753,483.016,189.306,354.715,1.252,2.606,1.818,89.7734,64.1568
552,14.03,482.272,76.296,385.437,0.321,10.723,1.93,41.9038,6.88552
553,15.138,481.481,157.896,381.698,0.674,2.735,3.363,42.0186,52.1457
554,17.051,480.646,181.07,371.527,2.24,1.7445,1.499,87.2844,52.364
555,15.483,479.763,115.819,382.906,1.409,0.754,2.127,89.513,16.9398
556,13.53,478.837,84.21,379.084,0.244,5.601,2.23,85.4605,10.9825
557,8.972,477.865,298.283,319.83,0.896,5.421142857142857,3.657,94.543,110.402
558,12.012,476.849,205.455,350.39,1.7,5.2412857142857145,1.4,63.7644,67.9573
559,14.25,475.789,183.034,354.17,1.87,5.061428571428571,1.583,88.8112,43.5915
560,16.052,474.684,328.336,330.943,3.71,4.881571428571428,3.746,126.565,76.2914
561,15.965,473.536,295.718,364.529,2.57,4.701714285714285,4.616,109.464,97.4805
562,17.759,472.343,211.003,380.566,1.953,4.521857142857143,5.536,86.88,61.9881
563,18.973,471.108,236.666,380.582,2.943,4.342,5.342,119.384,48.2322
564,16.914,469.832,205.408,363.521,2.166,8.84,2.306,102.49,57.3048
565,17.935,468.511,250.46,370.228,4.089,0.207,2.162,121.635,48.9968
566,18.278,467.15,103.925,398.197,0.991,0.418,3.67,32.9601,6.77906
567,13.533,465.745,151.088,374.586,0.374,5.149,3.148,61.4307,58.5216
568,14.27,464.3,286.825,313.024,3.332,0.072,3.216,105.639,66.1622
569,19.652,462.814,218.248,356.923,4.909,2.0643333333333334,5.538,107.06,19.1838
570,22.497,461.288,237.788,378.795,6.554,4.056666666666667,6.104,128.913,35.5222
571,19.627,459.721,86.393,397.111,0.849,6.049,4.136,40.2832,18.0354
572,20.552,458.114,111.024,394.442,1.434,2.605,2.533,38.6008,14.8442
573,17.375,456.468,229.789,358.301,2.945,0.201,6.196,91.4448,61.9409
574,18.671,454.784,45.959,404.182,0.906,20.408,4.951,50.1915,4.76159
575,21.22,453.06,251.769,375.825,2.806,0.299,5.035,138.156,116.0
576,22.532,451.298,271.744,382.356,4.009,0.237,4.176,118.845,48.7966
577,22.823,449.498,245.644,392.524,3.533,0.175,4.178,84.423,60.1059
578,21.932,447.661,171.069,404.216,2.335,0.114,3.518,52.9867,45.7814
579,20.637,445.787,108.79,397.153,1.449,1.249,1.96,36.8337,22.3882
580,20.509,443.877,114.332,404.698,1.978,2.384,3.202,38.7604,21.8295
581,20.258,441.931,134.139,396.447,2.819,0.847,6.998,36.1269,23.606
582,20.68,439.949,150.435,397.155,2.204,1.053,5.573,10.8882,35.5901
583,21.673,437.932,248.438,377.625,4.154,0.09,3.642,5.6836,48.889
584,20.067,435.88,149.035,398.071,1.813,0.8660000000000001,4.755,9.93359,35.8127
585,22.004,433.794,233.6,389.62,3.356,1.6420000000000003,4.774,106.644,38.8438
586,20.416,431.674,231.298,364.69,4.398,2.418,6.186,132.012,47.3569
587,16.899,429.52,208.514,364.896,2.87,1.739,3.492,154.106,31.4656
588,15.811,427.335,152.477,364.933,2.427,0.413,2.478,103.442,25.0339
589,16.835,425.117,140.807,366.804,2.025,1.514,4.007,57.4337,10.4205
590,13.852,422.866,115.756,359.407,1.732,0.8225,2.017,56.3103,22.7341
591,14.963,420.584,253.273,331.404,3.678,0.131,2.731,147.055,45.9722
592,14.041,418.272,144.73,346.798,1.856,1.498,2.297,75.6888,23.7455
593,12.584,415.929,121.799,353.411,0.664,5.603,2.745,64.0465,22.3788
594,13.516,413.555,116.394,349.21,0.768,2.8649999999999998,3.92,31.318,-1.08811
595,16.053,411.153,275.767,332.575,2.878,0.127,4.783,130.329,63.5321
596,16.404,408.721,172.817,358.184,3.613,1.436,1.935,106.03,11.8354
597,11.947,406.262,39.452,346.559,1.046,11.004,2.895,45.3994,1.37307
598,11.239,403.774,58.817,333.863,0.706,11.473,2.825,9.28423,-2.7504
599,13.894,401.259,232.748,320.289,2.693,0.803,2.256,128.844,57.3401
600,15.905,398.717,267.455,314.376,4.088,0.823,3.437,120.969,29.1392
601,16.366,396.148,252.06,323.902,3.997,0.843,3.753,122.34,32.9623
602,12.49,393.555,196.531,307.504,3.026,0.343,2.959,133.716,27.7047
603,13.153,390.935,201.442,301.542,2.651,0.20800000000000002,3.504,95.1836,29.0383
604,11.843,388.292,252.994,307.084,2.823,0.073,2.18,109.243,87.748
605,13.169,385.624,240.366,304.373,3.115,3.464,1.6,96.8408,71.6296
606,14.259,382.932,194.0,323.624,2.977,6.855,2.606,73.4717,35.2139
607,14.038,380.218,45.887,371.556,1.582,10.246,3.072,39.5004,-23.5287
608,17.006,377.481,56.348,392.694,1.246,19.108,4.738,78.539,-26.1406
609,15.995,374.723,67.378,359.262,2.196,0.222,8.865,105.254,-23.9912
610,16.369,371.943,211.238,333.667,4.201,0.367,5.495,127.388,9.77001
611,13.837,369.143,115.603,361.039,1.173,5.536,5.257,70.6731,-12.2455
612,14.305,366.323,194.911,331.043,3.027,0.294,3.067,100.395,31.3165
613,16.343,363.484,243.934,297.976,4.762,0.4983333333333333,2.689,101.984,54.0313
614,15.241,360.626,141.556,327.927,2.176,0.7026666666666667,3.261,46.8974,17.3766
615,15.998,357.75,139.093,364.875,2.472,0.907,2.325,56.6804,16.8947
616,15.506,354.856,92.709,372.465,2.517,11.683,9.791,74.7267,14.6007
617,13.804,351.946,226.01,311.147,4.611,0.846,5.993,119.313,59.2442
618,11.802,349.02,75.464,308.598,1.706,7.402,4.921,66.7086,-32.75
619,13.289,346.079,199.556,295.11,3.989,13.083333333333334,4.711,88.4241,24.125
620,15.676,343.122,225.331,309.113,6.351,18.764666666666667,3.668,87.4592,48.8812
621,12.054,340.152,29.347,353.724,2.215,24.446,2.762,54.49,-13.5705
622,10.162,337.169,57.169,354.517,0.286,24.562,4.015,77.3183,-1.47187
623,12.004,334.174,229.292,266.599,6.639,16.483333333333334,2.589,76.6973,70.0592
624,14.41,331.166,220.123,289.99,6.192,8.404666666666667,3.547,93.8863,54.8482
625,15.181,328.148,123.875,319.826,5.042,0.326,2.675,61.5649,10.3511
626,16.05,325.118,132.355,345.13,3.201,4.717499999999999,3.636,44.9711,21.7573
627,14.428,322.081,61.218,345.274,1.412,9.109,6.049,97.0439,-41.8949
628,12.487,319.034,96.714,314.571,2.142,9.770666666666667,5.805,41.8121,-28.0791
629,12.218,315.98,75.8,314.356,2.878,10.432333333333332,3.131,33.4105,0.210354
630,10.979,312.917,32.755,344.121,1.472,11.094,2.544,20.5534,-16.393
631,13.655,309.85,181.991,314.012,3.671,1.432,3.691,80.0495,54.3453
632,12.4,306.776,87.976,335.611,1.94,5.16,1.701,25.2345,19.5853
633,11.452,303.699,135.819,334.342,1.654,9.552,2.712,62.4644,32.4181
634,12.957,300.617,193.795,279.378,3.704,8.0174,1.527,49.2767,79.6833
635,12.814,297.532,155.488,313.249,1.984,6.482799999999999,2.179,38.9091,52.0203
636,11.73,294.446,136.427,309.79,1.987,4.9482,3.319,30.6589,30.1621
637,13.525,291.359,141.794,332.887,2.363,3.4135999999999997,2.979,41.0234,38.8875
638,11.827,288.271,79.318,317.212,2.279,1.879,2.779,22.6213,0.465354
639,10.648,285.184,135.513,314.424,2.556,0.106,4.132,36.7728,18.1301
640,6.99,282.099,75.86,297.203,1.571,4.613,5.75,55.9366,-16.7167
641,6.546,279.017,120.546,276.098,2.596,3.7478000000000002,2.578,37.7437,31.5731
642,8.61,275.938,195.821,253.53,3.732,2.8826,2.253,38.2359,87.1673
643,10.237,272.864,144.85,280.749,3.306,2.0174000000000003,2.825,36.5969,45.2406
644,11.405,269.795,117.449,290.956,3.838,1.1522000000000001,2.948,53.523,28.484
645,12.63,266.733,100.66,308.956,2.132,0.287,7.519,18.3563,-8.30091
646,13.433,263.679,127.194,295.942,2.34,0.237,5.648,29.269,11.3327
647,10.812,260.632,121.86,285.767,1.695,0.336,2.523,28.6691,22.3354
648,9.314,257.596,70.136,297.288,2.568,2.153,2.181,32.8389,-4.22846
649,10.49,254.57,36.489,356.276,1.151,3.97,2.089,19.1265,-7.91291
650,12.068,251.556,51.441,341.142,0.822,0.905,5.612,7.53057,-19.3184
651,8.959,248.553,67.394,290.115,1.892,1.218,5.345,44.9573,-22.633
652,5.929,245.566,92.795,265.32,2.142,0.736,4.158,16.3936,5.33292
653,7.59,242.592,125.404,294.835,2.252,0.21,7.827,24.5086,-5.6829
654,4.762,239.635,96.259,272.263,2.544,0.311,5.042,61.0783,5.71798
655,3.925,236.694,94.499,246.41,3.174,0.553,4.475,34.6717,6.39306
656,8.107,233.772,143.72,251.118,3.244,1.5190000000000001,4.826,21.8688,27.06
657,10.122,230.867,144.581,264.219,3.906,2.4850000000000003,4.667,22.4823,21.8242
658,10.32,227.984,59.378,312.109,1.325,3.451,4.201,8.69841,-3.72935
659,4.632,225.12,15.487,315.861,0.685,0.893,3.747,8.17827,-3.55263
660,5.39,222.28,87.704,313.844,1.058,6.34,3.43,27.7496,24.9024
661,0.596,219.463,42.312,296.091,0.751,6.875,9.15,18.5793,-59.1091
662,2.1,216.67,64.238,288.333,0.873,2.087,3.283,8.42713,-0.245948
663,1.899,213.902,36.388,265.109,1.603,5.232,6.692,34.1226,-36.1105
664,-2.382,211.16,75.451,265.268,0.988,3.295,4.863,11.4385,24.5611
665,-4.089,208.447,57.459,274.704,0.149,3.207,2.541,-13.4493,14.6554
666,-0.764,205.761,39.249,272.105,0.301,0.333,4.253,-8.15204,-26.9024
667,4.994,203.105,42.192,296.451,0.679,0.24233333333333335,4.795,8.75305,-38.9253
668,8.036,200.48,98.612,265.19,2.126,0.15166666666666667,3.969,13.1834,-6.72456
669,9.305,197.886,64.776,304.795,1.34,0.061,3.025,0.0023125,-11.9063
670,6.832,195.325,38.983,326.507,0.647,2.353,4.227,5.35907,6.55622
